"Date","GOLDX"
"1981-07-15",182433628318583.4
"1981-07-16",185088495575220.56
"1981-07-17",183628318584070.12
"1981-07-20",182522123893804.62
"1981-07-21",179646017699114.4
"1981-07-22",182079646017698.47
"1981-07-23",180442477876105.56
"1981-07-24",180309734513273.72
"1981-07-27",180884955752211.8
"1981-07-28",177654867256636.56
"1981-07-29",177654867256636.56
"1981-07-30",178008849557521.53
"1981-07-31",179646017699114.44
"1981-08-03",173672566371680.8
"1981-08-04",173141592920353.4
"1981-08-05",173628318584070.2
"1981-08-06",174026548672565.78
"1981-08-07",175796460176990.53
"1981-08-10",174247787610618.84
"1981-08-11",177433628318583.44
"1981-08-12",184734513274335.62
"1981-08-13",180221238938052.47
"1981-08-14",182743362831857.75
"1981-08-17",182079646017698.47
"1981-08-18",185840707964601.12
"1981-08-19",190929203539822.38
"1981-08-20",189823008849556.88
"1981-08-21",190044247787609.97
"1981-08-24",186725663716813.53
"1981-08-25",181327433628317.97
"1981-08-26",183185840707963.97
"1981-08-27",182212389380530.38
"1981-08-28",188053097345132.1
"1981-08-31",188053097345132.1
"1981-09-01",186504424778760.44
"1981-09-02",190265486725663.1
"1981-09-03",193141592920353.38
"1981-09-04",194469026548671.9
"1981-09-08",194247787610618.8
"1981-09-09",193274336283185.2
"1981-09-10",199778761061946.2
"1981-09-11",198362831858406.4
"1981-09-14",199690265486725
"1981-09-15",201769911504424.1
"1981-09-16",198672566371680.75
"1981-09-17",203097345132742.7
"1981-09-18",197787610619468.38
"1981-09-21",205088495575220.53
"1981-09-22",204424778761061.25
"1981-09-23",201991150442477.2
"1981-09-24",197477876106194
"1981-09-25",199336283185840
"1981-09-28",186504424778760.4
"1981-09-29",191061946902654.2
"1981-09-30",189734513274335.62
"1981-10-01",193274336283185.2
"1981-10-02",192477876106194.03
"1981-10-05",195265486725663.1
"1981-10-06",196017699115043.6
"1981-10-07",197123893805309.1
"1981-10-08",196150442477875.47
"1981-10-09",200663716814158.62
"1981-10-12",198893805309733.84
"1981-10-13",196150442477875.44
"1981-10-14",196592920353981.62
"1981-10-15",197654867256636.47
"1981-10-16",196371681415928.53
"1981-10-19",193230088495574.56
"1981-10-20",193495575221238.28
"1981-10-21",189823008849556.88
"1981-10-22",191946902654866.6
"1981-10-23",191371681415928.53
"1981-10-26",188495575221238.28
"1981-10-27",189115044247786.9
"1981-10-28",190619469026548
"1981-10-29",187831858407078.97
"1981-10-30",188938053097344.47
"1981-11-02",190265486725663.1
"1981-11-03",189513274336282.53
"1981-11-04",190840707964601.1
"1981-11-05",189601769911503.75
"1981-11-06",189513274336282.47
"1981-11-09",190176991150441.8
"1981-11-10",185176991150441.8
"1981-11-11",182300884955751.53
"1981-11-12",182079646017698.44
"1981-11-13",182522123893804.62
"1981-11-16",178893805309733.84
"1981-11-17",176460176991149.78
"1981-11-18",178672566371680.75
"1981-11-19",177433628318583.4
"1981-11-20",177654867256636.5
"1981-11-23",175575221238937.4
"1981-11-24",176681415929202.9
"1981-11-25",181194690265486.1
"1981-11-27",182079646017698.47
"1981-11-30",183407079646017.03
"1981-12-01",178097345132742.72
"1981-12-02",179999999999999.34
"1981-12-03",184292035398229.4
"1981-12-04",188495575221238.25
"1981-12-07",184424778761061.28
"1981-12-08",183761061946902
"1981-12-09",181548672566371.03
"1981-12-10",179424778761061.3
"1981-12-11",181327433628317.97
"1981-12-14",184734513274335.62
"1981-12-15",182876106194689.62
"1981-12-16",184424778761061.38
"1981-12-17",184203539823008.25
"1981-12-18",183982300884955.16
"1981-12-21",181637168141592.38
"1981-12-22",176814159292034.84
"1981-12-23",177168141592919.78
"1981-12-24",177168141592919.78
"1981-12-28",177168141592919.78
"1981-12-29",174778761061946.34
"1981-12-30",175884955752211.84
"1981-12-31",175884955752211.84
"1982-01-04",174778761061946.38
"1982-01-05",178539823008849
"1982-01-06",177654867256636.6
"1982-01-07",175442477876105.62
"1982-01-08",177123893805309.2
"1982-01-11",171814159292034.84
"1982-01-12",172123893805309.2
"1982-01-13",168141592920353.44
"1982-01-14",165840707964601.25
"1982-01-15",167831858407079.12
"1982-01-18",165398230088495.06
"1982-01-19",166061946902654.34
"1982-01-20",164380530973450.8
"1982-01-21",166371681415928.7
"1982-01-22",166946902654866.75
"1982-01-25",164601769911503.9
"1982-01-26",166592920353981.78
"1982-01-27",168938053097344.62
"1982-01-28",169690265486725.16
"1982-01-29",171238938053096.8
"1982-02-01",167920353982300.34
"1982-02-02",167787610619468.5
"1982-02-03",167256637168141.06
"1982-02-04",169823008849557
"1982-02-05",170044247787610.1
"1982-02-08",168053097345132.22
"1982-02-09",167477876106194.16
"1982-02-10",169115044247787.06
"1982-02-11",168141592920353.44
"1982-02-12",167035398230087.97
"1982-02-16",166061946902654.34
"1982-02-17",165486725663716.28
"1982-02-18",163407079646017.2
"1982-02-19",163407079646017.2
"1982-02-22",161194690265486.22
"1982-02-23",159734513274335.78
"1982-02-24",160530973451326.94
"1982-02-25",162168141592919.84
"1982-02-26",160442477876105.72
"1982-03-01",159867256637167.66
"1982-03-02",159867256637167.66
"1982-03-03",156548672566371.22
"1982-03-04",153318584070796
"1982-03-05",151504424778760.6
"1982-03-08",146238938053096.9
"1982-03-09",145707964601769.5
"1982-03-10",147345132743362.4
"1982-03-11",146814159292034.97
"1982-03-12",143053097345132.34
"1982-03-15",138053097345132.34
"1982-03-16",143584070796459.78
"1982-03-17",139823008849557.14
"1982-03-18",141592920353981.94
"1982-03-19",139734513274335.94
"1982-03-22",141946902654866.9
"1982-03-23",145707964601769.56
"1982-03-24",146814159292035.03
"1982-03-25",145044247787610.25
"1982-03-26",142610619469026.2
"1982-03-29",140929203539822.66
"1982-03-30",143495575221238.6
"1982-03-31",141592920353981.97
"1982-04-01",144690265486725.34
"1982-04-02",145044247787610.28
"1982-04-05",149336283185840.38
"1982-04-06",152876106194689.94
"1982-04-07",156637168141592.6
"1982-04-08",155530973451327.1
"1982-04-12",155530973451327.1
"1982-04-13",156415929203539.5
"1982-04-14",162300884955751.88
"1982-04-15",160752212389380.2
"1982-04-16",160530973451327.1
"1982-04-19",157964601769911.16
"1982-04-20",151769911504424.44
"1982-04-21",153451327433627.97
"1982-04-22",152654867256636.8
"1982-04-23",155884955752212.03
"1982-04-26",157964601769911.16
"1982-04-27",155663716814158.97
"1982-04-28",156858407079645.7
"1982-04-29",154336283185840.38
"1982-04-30",159867256637167.8
"1982-05-03",159867256637167.8
"1982-05-04",151238938053097.03
"1982-05-05",149734513274335.94
"1982-05-06",148008849557521.78
"1982-05-07",148141592920353.66
"1982-05-10",145575221238937.72
"1982-05-11",147035398230088.16
"1982-05-12",146681415929203.2
"1982-05-13",146460176991150.1
"1982-05-14",147477876106194.34
"1982-05-17",149778761061946.53
"1982-05-18",149557522123893.44
"1982-05-19",151327433628318.22
"1982-05-20",151548672566371.3
"1982-05-21",149778761061946.53
"1982-05-24",145575221238937.7
"1982-05-25",145088495575220.88
"1982-05-26",146150442477875.75
"1982-05-27",143495575221238.6
"1982-05-28",143938053097344.78
"1982-06-01",141061946902654.53
"1982-06-02",140929203539822.66
"1982-06-03",141769911504424.4
"1982-06-04",141061946902654.5
"1982-06-07",143938053097344.78
"1982-06-08",145486725663716.47
"1982-06-09",144247787610619.12
"1982-06-10",144601769911504.06
"1982-06-11",143938053097344.78
"1982-06-14",141946902654866.9
"1982-06-15",139380530973450.98
"1982-06-16",140265486725663.38
